Num,y
348622,1488.0
348623,26865.6
348624,295712.0
348625,29288.0
348626,16.0
348627,145334.4
348628,67315.2
348629,111246.4
348630,101993.6
348631,3520.0
348632,1840.0
348633,54656.0
348634,277246.4
348635,21827.2
348636,1936.0
348637,177680.0
348638,120864.0
348639,506675.2
348640,507572.8
348641,2321.6
348642,112523.2
348643,82950.4
348644,1208.0
348645,24081.6
348646,10881.6
348647,149577.6
348648,7443.2
348649,18550.4
348650,5496.0
348651,23456.0
348652,17070.4
348653,278227.2
348654,7352.0
348655,21824.0
348656,10376.0
348657,2456.0
348658,44539.2
348659,1392.0
348660,160.0
348661,16734.4
348662,7016.0
348663,18384.0
348664,1154337.6
348665,79412.8
348666,340969.6
348667,867992.0
348668,95440.0
348669,26940.8
348670,25824.0
348671,96.0
348672,47720.0
348673,88.0
348674,256.0
348675,2741841.6
348676,384867.2
348677,6528.0
348678,45872.0
348679,343304.0
348680,14288.0
348681,704.0
348682,36217.6
348683,1936.0
348684,1568.0
348685,21179.2
348686,184731.2
348687,6105.6
348688,143073.6
348689,25380.8
348690,6785.6
348691,197500.8
348692,13928.0
348693,193121.6
348694,137568.0
348695,117968.0
348696,131875.2
348697,97497.6
348698,1200.0
348699,15470.4
348700,11760.0
348701,87323.2
348702,9056.0
348703,56488.0
348704,73440.0
348705,150788.8
348706,118144.0
348707,27249.6
348708,8488.0
348709,60400.0
348710,94491.2
348711,37915.2
348712,5496.0
348713,92288.0
348714,99616.0
348715,183691.2
348716,10648.0
348717,192.0
348718,4033.6
348719,6488.0
348720,13360.0
348721,103067.2
348722,3113.6
348723,472.0
348724,18788.8
348725,6200.0
348726,4448.0
348727,79444.8
348728,294632.0
348729,31830.4
348730,1259934.4
348731,334016.0
348732,31249.6
348733,165552.0
348734,832.0
348735,2476588.8
348736,42440.0
348737,21736.0
348738,703576.0
348739,543659.2
348740,594497.6
348741,1041392.0
348742,112553.6
348743,116320.0
348744,2353.6
348745,6139.2
348746,128.0
348747,13856.0
348748,95300.8
348749,5070.4
348750,28624.0
348751,433059.2
348752,107097.6
348753,575753.6
348754,269913.6
348755,94784.0
348756,63561.6
348757,688.0
348758,14520.0
348759,264009.6
348760,724576.0
348761,320856.0
348762,14953.6
348763,25337.6
348764,128.0
348765,8328.0
348766,132873.6
348767,1312.0
348768,144.0
348769,77505.6
348770,12044.8
348771,3992.0
348772,1323.2
348773,167841.6
348774,878104.0
348775,4240.0
348776,30598.4
348777,192.0
348778,15392.0
348779,93030.4
348780,185732.8
348781,124190.4
348782,287752.0
348783,398449.6
348784,13804.8
348785,6924.8
348786,17856.0
348787,2043.2
348788,3064.0
348789,66800.0
348790,13568.0
348791,641643.2
348792,464547.2
348793,224.0
348794,256.0
348795,32.0
348796,1057.6
348797,1020.8
348798,79880.0
348799,11208.0
348800,1185.6
348801,4072.0
348802,1643.2
348803,462.4
348804,1672.0
348805,2424.0
348806,829937.6
348807,27691.2
348808,1217459.2
348809,363008.0
348810,27480.0
348811,12435.2
348812,1576.0
348813,24705.6
348814,48696.0
348815,86420.8
